0,1,2,3,4,5,6,7,8,9
4.3021164,-3.1520917,1.4330806,-3.2746127,3.3349037,-0.15554228,2.184015,4.8935075,-2.0914042,-1.6451586
7.510842,-5.273649,3.8918166,-4.5762253,5.2096305,-1.3097959,5.7403474,9.44252,-3.8161595,-4.134255
6.077906,-3.7733433,3.7157338,-3.4039896,4.0284643,-1.7108811,4.857777,7.616832,-3.324001,-3.6272142
7.143015,-5.53215,2.9679527,-4.797375,5.2380066,-0.45422336,4.9684315,8.825516,-3.3584702,-3.4514394
6.460608,-5.2705226,2.8081403,-4.345163,4.8579845,-0.43014717,4.8492293,8.352627,-3.0066786,-3.2955322
6.634512,-5.733516,0.5698122,-5.6648707,5.316445,1.4401736,2.695462,7.2063665,-2.6945806,-1.6860675
7.4280167,-5.234057,4.1171346,-4.3874216,5.127927,-1.4274646,5.9585333,9.505266,-3.8197472,-4.2433705
7.4839606,-5.635773,3.357056,-4.8177624,5.3550835,-0.72769254,5.466057,9.311188,-3.6016872,-3.8041365
7.5758505,-6.032931,3.0700214,-5.1314325,5.586019,-0.40156785,5.380768,9.429896,-3.5272896,-3.6867464
7.153745,-5.2122974,3.7493627,-4.3664045,5.0436354,-1.1526947,5.626299,9.169075,-3.5935662,-3.9708786
7.0708113,-5.6364164,3.0941195,-4.6873617,5.203793,-0.57331675,5.2474566,8.989585,-3.29736,-3.5777292
6.9093213,-5.617863,3.0282025,-4.631703,5.1755996,-0.47708002,5.1707525,8.900862,-3.1982405,-3.5210366
7.100424,-5.1772194,3.6108336,-4.452058,5.142252,-1.076373,5.2931356,8.986756,-3.5313632,-3.700778
6.842485,-5.2418723,3.0510976,-4.47447,4.9690313,-0.6574723,4.9911327,8.6028185,-3.267492,-3.4864628
6.426164,-4.82931,3.408687,-3.9944243,4.6522126,-1.080482,4.9998794,8.245002,-3.1685035,-3.4686017
4.890502,-2.6223311,3.660028,-2.3981588,3.1404932,-2.0143163,4.185861,6.2648196,-2.9075642,-3.2006965
7.6216416,-5.8602643,3.4527159,-4.957625,5.48882,-0.77488756,5.660793,9.590005,-3.6682687,-3.9387338
7.552251,-5.749055,3.5886197,-4.842539,5.4993577,-0.874356,5.6238594,9.583862,-3.638135,-3.8938673
6.6842394,-5.4365745,2.855069,-4.499681,5.007244,-0.41145316,4.9217324,8.561508,-3.0800219,-3.375093
6.5631213,-3.7999818,4.411226,-3.3956683,4.216898,-2.152944,5.4510975,8.293788,-3.7170558,-4.0993757
6.4840517,-6.255894,-0.1907127,-6.069238,5.557123,2.1797464,2.1149223,7.006182,-2.3149643,-1.0720166
6.9976196,-5.806637,2.9451041,-4.7921114,5.3274794,-0.31001648,5.2070518,9.068754,-3.1757302,-3.4931118
4.948604,-2.6537864,3.72952,-2.4317238,3.1719017,-2.0681682,4.2575135,6.350697,-2.9406168,-3.285302
6.3527007,-3.9835012,3.700396,-3.6723714,4.357387,-1.5291862,4.7623024,7.8242807,-3.4356499,-3.4502885
7.393947,-5.624756,3.2580757,-4.8296647,5.295554,-0.70804816,5.4031825,9.224669,-3.5668378,-3.8131893
5.87896,-3.5359256,3.4377897,-3.317406,3.9019074,-1.491268,4.451516,7.235987,-3.2168026,-3.3749073
6.143301,-3.56864,4.454999,-3.0193052,3.890457,-2.2444832,5.500706,8.027671,-3.5888443,-4.106862
7.033346,-4.849405,4.019754,-4.0667906,4.810186,-1.5060216,5.7223287,9.024358,-3.6669781,-4.1064906
6.269576,-5.149133,2.923948,-4.23118,4.787642,-0.5412554,4.7685776,8.189318,-2.9302208,-3.2252822
7.3625445,-5.7365727,3.2598999,-4.816833,5.3428183,-0.65737706,5.4482784,9.276339,-3.503107,-3.755637
6.6937265,-7.2798996,-1.5102875,-7.1431475,6.2508645,3.4445906,1.2217859,7.0037074,-1.9275373,-0.2535897
5.1027637,-3.483379,2.140149,-3.521155,3.7701752,-0.5962396,2.8930402,5.8245773,-2.5960264,-2.1099343
6.5760493,-3.7419446,4.2636714,-3.5289376,4.3360147,-2.1024175,5.181201,8.1558695,-3.704393,-3.8589618
5.816477,-2.9800284,4.543044,-2.7121124,3.6419854,-2.5760295,5.1314173,7.433328,-3.534323,-3.8568485
5.6156845,-3.5011206,2.8921714,-3.4166944,3.8329456,-1.0913285,3.8153586,6.606435,-3.01987,-2.8335865
6.742119,-5.5232224,2.8572433,-4.56988,5.050978,-0.45561352,4.970421,8.616571,-3.095205,-3.3702807
7.591717,-6.341634,2.8439043,-5.350887,5.793897,-0.06649389,5.299407,9.596792,-3.3515146,-3.5344806
6.195431,-6.06139,-0.43633744,-5.949854,5.425694,2.2634344,1.7577418,6.572443,-2.1341774,-0.8151685
6.182104,-6.578579,-1.152867,-6.4838114,5.7158446,2.9434009,1.2321672,6.469233,-1.8772236,-0.32702345
7.474065,-5.5783405,3.582003,-4.7202744,5.3311048,-0.9299978,5.6351547,9.435821,-3.6362011,-3.94836
7.52391,-5.4908977,3.7232873,-4.7082686,5.3786297,-1.0675123,5.6437364,9.505542,-3.7038896,-3.9569461
